27.7381 	INFO 	Loaded monitor calibration from ['2022_07_17 12:15']
27.7615 	WARNING 	Requested an unavailable screen number - using first available.
29.1921 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4070>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678DFFD0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678DFE20>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025567C38F40>, multiSample=False, name='window1', numSamples=2, pos=[283.0, 84.0], screen=1, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
29.1923 	EXP 	window1: backgroundImage = ''
29.1923 	EXP 	window1: backgroundFit = 'none'
29.1926 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4160>
29.1930 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4160>
29.1979 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4160>
29.1987 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4160>
29.2265 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2294 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2309 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2327 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2345 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2357 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2373 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2391 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2400 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2410 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2426 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2441 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2461 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2490 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2507 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2525 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2542 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2553 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2564 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2584 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2598 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.2612 	DEBUG 	Uploading Texture Font fontname to graphics card
29.2687 	DEBUG 	Upload of Texture Font fontname complete
29.2708 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4160>
29.2710 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4160>
29.2716 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4160>
29.2722 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255678E4160>
29.2985 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.3003 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
