English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,resp_practice.started,condition_name.started,Inupiaq_cue,current_condition,resp_practice,cue_final.started,resp_final.started,target_final.started,resp_final,thanks_msg.started,participant,session,date,expName,psychopyVersion,frameRate,
kidney,rim,taqtu,2,0,2,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,19.838810999999623,19.838810999999623,19.838810999999623,19.838810999999623,a p y u q,diminuição,xxxxxx ,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,,,,,22.667535900000075,22.667535900000075,22.667535900000075,22.667535900000075,u n i a t,diminuição,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,24.121421900000314,24.121421900000314,24.121421900000314,24.121421900000314,k a m i k,somente estudo,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,25.655365200000233,25.655365200000233,25.655365200000233,25.655365200000233,_ _ _ _ _,acumulação,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,26.867908100000022,26.867908100000022,26.867908100000022,26.867908100000022,s a i y u,somente estudo,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,27.904708500000197,27.904708500000197,27.904708500000197,27.904708500000197,_ _ _ _ _,acumulação,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,1,,,,,,,,,28.86714370000027,28.86714370000027,28.86714370000027,28.86714370000027,a p y _ q,diminuição,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,3,,,,,,,,,29.78780850000021,29.78780850000021,29.78780850000021,29.78780850000021,u _ i a t,diminuição,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,2,,,,,,,,,30.72139160000006,30.72139160000006,30.72139160000006,30.72139160000006,k a m i k,somente estudo,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,0,,,,,,,,,31.622252400000434,31.622252400000434,31.622252400000434,31.622252400000434,_ k _ _ _,acumulação,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,1,0,1,0,0,4,4,4,,,,,,,,,32.521934399999736,32.521934399999736,32.521934399999736,32.521934399999736,s a i y u,somente estudo,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,1,0,1,0,0,5,5,5,,,,,,,,,33.48834280000028,33.48834280000028,33.48834280000028,33.48834280000028,_ _ _ l _,acumulação,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,1,,,,,,,,,34.42131950000021,34.42131950000021,34.42131950000021,34.42131950000021,a p _ _ q,diminuição,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,3,,,,,,,,,35.32255789999999,35.32255789999999,35.32255789999999,35.32255789999999,_ _ i a t,diminuição,xxxxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,2,0,2,0,0,2,2,2,,,,,,,,,36.78850220000004,36.78850220000004,36.78850220000004,36.78850220000004,k a m i k,somente estudo,xxsxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,2,0,2,0,0,3,3,0,,,,,,,,,38.30490629999986,38.30490629999986,38.30490629999986,38.30490629999986,_ k p _ _,acumulação,xxxsxsadfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,2,0,2,0,0,4,4,4,,,,,,,,,39.88854569999967,39.88854569999967,39.88854569999967,39.88854569999967,s a i y u,somente estudo,fsafsdfsf,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,2,0,2,0,0,5,5,5,,,,,,,,,40.97174290000021,40.97174290000021,40.97174290000021,40.97174290000021,i _ _ l _,acumulação,sfdsfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,0,0,0,0,3,0,3,0,0,0,0,1,,,,,,,,,41.8675389,41.8675389,41.8675389,41.8675389,_ p _ _ q,diminuição,dfsfsfsdf,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,3,0,3,0,0,1,1,3,,,,,,,,,42.92085849999967,42.92085849999967,42.92085849999967,42.92085849999967,_ _ i a _,diminuição,sdfsfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,3,0,3,0,0,2,2,2,,,,,,,,,43.822008500000265,43.822008500000265,43.822008500000265,43.822008500000265,k a m i k,somente estudo,dfsfsfsf,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,3,0,3,0,0,3,3,0,,,,,,,,,44.8700074999997,44.8700074999997,44.8700074999997,44.8700074999997,_ k p i _,acumulação,fsfsfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,3,0,3,0,0,4,4,4,,,,,,,,,45.97057070000028,45.97057070000028,45.97057070000028,45.97057070000028,s a i y u,somente estudo,fsdfsdfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,3,0,3,0,0,5,5,5,,,,,,,,,46.93663579999975,46.93663579999975,46.93663579999975,46.93663579999975,i _ a l _,acumulação,fdfsfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,0,0,0,0,4,0,4,0,0,0,0,1,,,,,,,,,47.955477299999984,47.955477299999984,47.955477299999984,47.955477299999984,_ _ _ _ q,diminuição,fsfsfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,4,0,4,0,0,1,1,3,,,,,,,,,48.92035709999982,48.92035709999982,48.92035709999982,48.92035709999982,_ _ _ a _,diminuição,fdsfsdfsdf,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,4,0,4,0,0,2,2,2,,,,,,,,,49.82101160000002,49.82101160000002,49.82101160000002,49.82101160000002,k a m i k,somente estudo,dsfsfsdfsf,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,4,0,4,0,0,3,3,0,,,,,,,,,50.68855960000019,50.68855960000019,50.68855960000019,50.68855960000019,i k p i _,acumulação,sfsdfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,4,0,4,0,0,4,4,4,,,,,,,,,51.52100539999992,51.52100539999992,51.52100539999992,51.52100539999992,s a i y u,somente estudo,sfsfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,4,0,4,0,0,5,5,5,,,,,,,,,52.420135200000004,52.420135200000004,52.420135200000004,52.420135200000004,i v a l _,acumulação,fsfsdfsdfsd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,1,,,,,,,,,53.35527120000006,53.35527120000006,53.35527120000006,53.35527120000006,_ _ _ _ _,diminuição,fsdfsdfsdf,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,0,0,0,0,5,0,5,0,0,1,1,3,,,,,,,,,54.10335649999979,54.10335649999979,54.10335649999979,54.10335649999979,_ _ _ _ _,diminuição,sdfsdfsfd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,0,0,0,0,5,0,5,0,0,2,2,2,,,,,,,,,54.95476830000007,54.95476830000007,54.95476830000007,54.95476830000007,k a m i k,somente estudo,fsdfsfs,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,0,0,0,0,5,0,5,0,0,3,3,0,,,,,,,,,55.82024199999978,55.82024199999978,55.82024199999978,55.82024199999978,i k p i k,acumulação,ddsfdsfsf,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,5,0,5,0,0,4,4,4,,,,,,,,,56.75459370000044,56.75459370000044,56.75459370000044,56.75459370000044,s a i y u,somente estudo,dfdsfdf,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,5,0,5,0,0,5,5,5,,,,,,,,,57.537101699999766,57.537101699999766,57.537101699999766,57.537101699999766,i v a l u,acumulação,ffddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,58.722049199999674,58.722049199999674,58.722049199999674,58.722049199999674,_ _ _ _ _,acumulação,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1,3,,,,,,,,,59.66970870000023,59.66970870000023,59.66970870000023,59.66970870000023,q i x a k,somente estudo,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,0,0,0,0,0,2,2,2,,,,,,,,,60.85428620000039,60.85428620000039,60.85428620000039,60.85428620000039,_ _ _ _ _,acumulação,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,0,0,0,0,0,3,3,0,,,,,,,,,61.9360999999999,61.9360999999999,61.9360999999999,61.9360999999999,n i g a q,diminuição,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,1,0,1,0,0,0,0,0,0,4,4,4,,,,,,,,,63.020730000000185,63.020730000000185,63.020730000000185,63.020730000000185,a g l a k,somente estudo,ddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,0,0,0,0,0,5,5,5,,,,,,,,,64.25365260000035,64.25365260000035,64.25365260000035,64.25365260000035,m i t i q,diminuição,ddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,1,0,1,0,0,0,0,1,,,,,,,,,65.7196098000004,65.7196098000004,65.7196098000004,65.7196098000004,_ _ _ x _,acumulação,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,1,0,1,0,1,0,1,0,0,1,1,3,,,,,,,,,66.82184289999987,66.82184289999987,66.82184289999987,66.82184289999987,q i x a k,somente estudo,ddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,1,0,1,0,0,2,2,2,,,,,,,,,67.8878566000003,67.8878566000003,67.8878566000003,67.8878566000003,_ _ q _ _,acumulação,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,1,0,1,0,0,3,3,0,,,,,,,,,70.03683029999956,70.03683029999956,70.03683029999956,70.03683029999956,n i g a _,diminuição,ddddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,1,0,1,0,1,0,1,0,0,4,4,4,,,,,,,,,71.37088669999957,71.37088669999957,71.37088669999957,71.37088669999957,a g l a k,somente estudo,ddddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,1,0,1,0,0,5,5,5,,,,,,,,,73.0363110999997,73.0363110999997,73.0363110999997,73.0363110999997,m i t _ q,diminuição,ddddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,2,0,2,0,0,0,0,1,,,,,,,,,74.33538529999987,74.33538529999987,74.33538529999987,74.33538529999987,_ _ i x _,acumulação,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,1,0,1,0,2,0,2,0,0,1,1,3,,,,,,,,,75.6208104999996,75.6208104999996,75.6208104999996,75.6208104999996,q i x a k,somente estudo,ddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,2,0,2,0,0,2,2,2,,,,,,,,,76.67026050000004,76.67026050000004,76.67026050000004,76.67026050000004,_ _ q t _,acumulação,ddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,2,0,2,0,0,3,3,0,,,,,,,,,77.70337230000041,77.70337230000041,77.70337230000041,77.70337230000041,n i _ a _,diminuição,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,1,0,1,0,2,0,2,0,0,4,4,4,,,,,,,,,78.80389130000003,78.80389130000003,78.80389130000003,78.80389130000003,a g l a k,somente estudo,ddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,2,0,2,0,0,5,5,5,,,,,,,,,79.72027669999989,79.72027669999989,79.72027669999989,79.72027669999989,m _ t _ q,diminuição,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,3,0,3,0,0,0,0,1,,,,,,,,,81.06968059999963,81.06968059999963,81.06968059999963,81.06968059999963,u _ i x _,acumulação,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,1,0,1,0,3,0,3,0,0,1,1,3,,,,,,,,,82.75400710000031,82.75400710000031,82.75400710000031,82.75400710000031,q i x a k,somente estudo,dddddd,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,3,0,3,0,0,2,2,2,,,,,,,,,84.08706119999988,84.08706119999988,84.08706119999988,84.08706119999988,_ a q t _,acumulação,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,3,0,3,0,0,3,3,0,,,,,,,,,86.11882799999967,86.11882799999967,86.11882799999967,86.11882799999967,n i _ _ _,diminuição,ffffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,1,0,1,0,3,0,3,0,0,4,4,4,,,,,,,,,87.25272550000045,87.25272550000045,87.25272550000045,87.25272550000045,a g l a k,somente estudo,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,3,0,3,0,0,5,5,5,,,,,,,,,88.18616469999961,88.18616469999961,88.18616469999961,88.18616469999961,m _ _ _ q,diminuição,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,4,0,4,0,0,0,0,1,,,,,,,,,89.13608579999982,89.13608579999982,89.13608579999982,89.13608579999982,u _ i x u,acumulação,ffffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,1,0,1,0,4,0,4,0,0,1,1,3,,,,,,,,,90.26988040000015,90.26988040000015,90.26988040000015,90.26988040000015,q i x a k,somente estudo,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,4,0,4,0,0,2,2,2,,,,,,,,,91.25354210000023,91.25354210000023,91.25354210000023,91.25354210000023,t a q t _,acumulação,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,4,0,4,0,0,3,3,0,,,,,,,,,92.95253760000014,92.95253760000014,92.95253760000014,92.95253760000014,n _ _ _ _,diminuição,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,1,0,1,0,4,0,4,0,0,4,4,4,,,,,,,,,93.92118670000036,93.92118670000036,93.92118670000036,93.92118670000036,a g l a k,somente estudo,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,4,0,4,0,0,5,5,5,,,,,,,,,94.81827059999978,94.81827059999978,94.81827059999978,94.81827059999978,m _ _ _ _,diminuição,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
