English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,participant,session,date,expName,psychopyVersion,frameRate,
kidney,rim,taqtu,2,0,2,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
duck,pato,mitiq,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
snail,lesma,uvixu,2,0,2,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
dust,pó,apyuq,2,0,2,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
tea,chá,saiyu,2,0,2,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
mark,marca,aglak,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
thread,fio,ivalu,2,0,2,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
sled,trenó,uniat,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
boot,bota,kamik,2,0,2,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
rainbow,arco-íris,nigaq,2,0,2,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
cliff,penhasco,ikpik,2,0,2,0,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
mark,marca,aglak,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,161.73322989999997,161.73322989999997,161.73322989999997,161.73322989999997,space,2.2823267000001124,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,164.06600230000004,164.06600230000004,164.06600230000004,164.06600230000004,space,1.6151026000000002,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
sled,trenó,uniat,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,5,,,,,165.71607569999992,165.71607569999992,165.71607569999992,165.71607569999992,space,0.7651467999999113,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
dust,pó,apyuq,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,4,,,,,166.53373540000007,166.53373540000007,166.53373540000007,166.53373540000007,space,3.02647879999995,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,169.61579549999988,169.61579549999988,169.61579549999988,169.61579549999988,space,1.28837180000005,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
boot,bota,kamik,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,1,,,,,170.94932040000003,170.94932040000003,170.94932040000003,170.94932040000003,space,0.3471973999999136,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
mark,marca,aglak,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,2,,,,,171.38240900000005,171.38240900000005,171.38240900000005,171.38240900000005,space,0.8657086000000618,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,3,,,,,172.29902820000007,172.29902820000007,172.29902820000007,172.29902820000007,space,0.40475050000009105,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
sled,trenó,uniat,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,5,,,,,172.7497957999999,172.7497957999999,172.7497957999999,172.7497957999999,space,0.40348370000015166,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
dust,pó,apyuq,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,4,,,,,173.19916489999991,173.19916489999991,173.19916489999991,173.19916489999991,space,12.60151000000019,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,1,0,1,0,0,4,4,0,,,,,185.84844169999997,185.84844169999997,185.84844169999997,185.84844169999997,space,0.4316780000001472,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
boot,bota,kamik,,,,,,,,,0,0,0,0,1,0,1,0,0,5,5,1,,,,,186.33148069999993,186.33148069999993,186.33148069999993,186.33148069999993,space,0.4927425000000767,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
mark,marca,aglak,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,2,,,,,186.8982578,186.8982578,186.8982578,186.8982578,space,0.558295600000065,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,3,,,,,187.53202869999996,187.53202869999996,187.53202869999996,187.53202869999996,space,0.6538884999999937,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
sled,trenó,uniat,,,,,,,,,0,0,0,0,2,0,2,0,0,2,2,5,,,,,188.2484844999999,188.2484844999999,188.2484844999999,188.2484844999999,space,0.4563969000000725,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
dust,pó,apyuq,,,,,,,,,0,0,0,0,2,0,2,0,0,3,3,4,,,,,188.76492430000008,188.76492430000008,188.76492430000008,188.76492430000008,space,9.339139199999863,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,2,0,2,0,0,4,4,0,,,,,198.1480552999999,198.1480552999999,198.1480552999999,198.1480552999999,space,0.4041410000002088,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
boot,bota,kamik,,,,,,,,,0,0,0,0,2,0,2,0,0,5,5,1,,,,,198.59790999999996,198.59790999999996,198.59790999999996,198.59790999999996,space,0.38627950000000055,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
mark,marca,aglak,,,,,,,,,0,0,0,0,3,0,3,0,0,0,0,2,,,,,199.06511260000002,199.06511260000002,199.06511260000002,199.06511260000002,space,0.735026100000141,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,3,0,3,0,0,1,1,3,,,,,199.84787110000002,199.84787110000002,199.84787110000002,199.84787110000002,space,0.33635129999993296,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
sled,trenó,uniat,,,,,,,,,0,0,0,0,3,0,3,0,0,2,2,5,,,,,200.24847090000003,200.24847090000003,200.24847090000003,200.24847090000003,space,0.3358891999998832,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
dust,pó,apyuq,,,,,,,,,0,0,0,0,3,0,3,0,0,3,3,4,,,,,200.63187279999988,200.63187279999988,200.63187279999988,200.63187279999988,space,12.320348700000068,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,3,0,3,0,0,4,4,0,,,,,213.03066990000002,213.03066990000002,213.03066990000002,213.03066990000002,space,0.3048902000000453,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
boot,bota,kamik,,,,,,,,,0,0,0,0,3,0,3,0,0,5,5,1,,,,,213.3972558999999,213.3972558999999,213.3972558999999,213.3972558999999,space,0.2112873999999465,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
mark,marca,aglak,,,,,,,,,0,0,0,0,4,0,4,0,0,0,0,2,,,,,213.6802557000001,213.6802557000001,213.6802557000001,213.6802557000001,space,0.31240709999997307,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,4,0,4,0,0,1,1,3,,,,,214.04762149999988,214.04762149999988,214.04762149999988,214.04762149999988,space,0.5283412999999655,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
sled,trenó,uniat,,,,,,,,,0,0,0,0,4,0,4,0,0,2,2,5,,,,,214.63039129999993,214.63039129999993,214.63039129999993,214.63039129999993,space,0.3293267999999898,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
,,,,,,,,,,,,,,,,,,,,,,,,,,,215.03076529999998,215.03076529999998,215.03076529999998,215.03076529999998,,,,,,,,,
